fname,sentence,I-LOC
pr10001_76,6,ødemarken
pr10002_76,11,Rom
pr10002_76,12,"udkants, -, Israel"
pr10002_76,25,Betlehem
pr10002_76,34,Danmark
pr10002_76,36,Saba
pr10002_76,38,Asien
pr10002_76,39,Afrika
pr10002_76,41,Grækenland
pr10002_76,41,Europa
pr10002_76,44,riges
pr10002_76,46,Persien
pr10002_76,47,Babylon
pr10002_76,49,Jerusalem
pr10002_76,68,Jerusalem
pr10002_76,68,Betlehem
pr10002_76,89,Jerusalem
pr10002_76,92,Nazaret
pr10003_76,15,Paradis
pr10003_76,30,Paradis
pr10003_76,45,Paradis
pr10004_76,7,Beder
pr10004_76,41,Randers
pr10006_76,16,Århus
pr10006_76,17,Danmark
pr10007_76,0,Tyskland
pr10007_76,1,katolske
pr10008_76,1,franske
pr10008_76,10,USA
pr10008_76,33,sydafrikanske
pr10008_76,43,Afrika
pr10009_76,0,Grækenland
pr10009_76,0,Delfi
pr10009_76,2,Delfi
pr10009_76,8,Grækenland
pr10009_76,24,Delfi
pr10009_76,31,Delfi
pr10009_76,40,Delfi
pr10009_76,56,Delfi
pr10010_76,26,Ham
pr10010_76,68,Rom
pr10010_76,78,Frankrig
pr10010_76,78,Tyrkiet
pr10010_76,78,München
pr10010_76,79,USA
pr10010_76,80,Kabul
pr10011_76,7,USA
pr10011_76,45,Tyrus
pr10011_76,45,Sidon
pr10011_76,47,Tyrus
pr10011_76,47,Sidon
pr10012_76,4,Ham
pr10012_76,25,Rige
pr10015_76,17,Odense
pr10015_76,23,Paradis
pr10016_76,60,Visdommen
pr10016_76,84,Jerusalem
pr10016_76,87,Betlehem
pr10017_76,2,Danmark
pr10017_76,4,tyske
pr10017_76,5,Wittenberg
pr10017_76,8,Danmark
pr10017_76,8,evangelisk
pr10018_76,6,Egypten
pr10018_76,23,Gudenå
pr10018_76,84,romerske
pr10019_76,28,Ham
pr10020_76,2,Jerusalem
pr10020_76,10,Jerusalem
pr10020_76,47,Jerusalem
pr10020_76,91,Jerusalem
pr10020_76,97,Ham
pr10021_76,16,Rige
pr10021_76,56,Betlehem
pr10022_76,9,Danmark
pr10022_76,49,Amerika
pr10023_76,15,Sverige
pr10024_76,0,.
pr10024_76,1,Roskilde
pr10024_76,7,St
pr10024_76,8,St
pr10024_76,9,"Kastellet, St"
pr10025_76,55,Frelser
pr10030_76,2,Tyrus
pr10030_76,2,Galilæa
pr10030_76,2,Jerusalem
pr10030_76,5,Galilæa
pr10031_76,8,Nazareth
pr10031_76,8,Israel
pr10032_76,7,Hundige
pr10033_76,3,Wittenberg
pr10033_76,29,lutherske
pr10033_76,42,Betlehem
pr10034_77,0,"Ledøje, -, Smørum"
pr10034_77,2,Ledøje
pr10034_77,4,Danmark
pr10034_77,10,USA
pr10034_77,22,Folkekirken
pr10034_77,68,skabelsestroen
pr10035_77,116,Ham
pr10036_77,11,amerikansk
pr10036_77,40,"romerske, rige"
pr10038_77,57,Kana
pr10038_77,123,Kana
pr10038_77,149,Folkekirken
pr10038_77,151,Folkekirken
pr10038_77,152,Nazareth
pr10038_77,155,Kana
pr10039_77,39,Daglejeren
pr10039_77,107,dansk
pr10040_77,13,Israel
pr10040_77,95,Danmark
pr10041_77,1,Hellerup
pr10041_77,2,Danmark
pr10041_77,4,Danmark
pr10041_77,10,tyske
pr10042_77,1,stilhedsterapi
pr10042_77,1,Danmark
pr10042_77,3,Valby
pr10042_77,10,Kroatien
pr10042_77,27,Valby
pr10042_77,31,oldkirken
pr10043_77,4,amerikanske
pr10043_77,7,muslimsk
pr10043_77,10,amerikanske
pr10043_77,10,USA
pr10043_77,11,USA
pr10043_77,12,USA
pr10043_77,17,Hjørring
pr10043_77,35,Syrien
pr10043_77,36,USA
pr10043_77,57,tysk
pr10044_77,36,dansk
pr10044_77,37,Sverige
pr10044_77,38,svensk
pr10044_77,39,Sverige
pr10044_77,101,Tyskland
pr10044_77,102,Kina
pr10044_77,103,Sovjet
pr10044_77,103,Cambodja
pr10044_77,104,Balkan
pr10044_77,115,Afghanistan
pr10044_77,122,Afghanistan
pr10044_77,123,Danmark
pr10044_77,123,Afghanistan
pr10044_77,130,Afghanistan
pr10045_77,1,Egypten
pr10045_77,1,Pakistan
pr10045_77,1,"Saudi, Arabien"
pr10045_77,1,Kina
pr10045_77,1,Vietnam
pr10045_77,2,Mellemøsten
pr10045_77,3,Egypten
pr10045_77,6,Canada
pr10045_77,9,Cairo
pr10045_77,10,egyptiske
pr10045_77,11,Mellemøsten
pr10045_77,11,Vesten
pr10045_77,14,Egypten
pr10045_77,18,Gellerup
pr10045_77,18,Århus
pr10045_77,22,Gellerup
pr10045_77,26,Egypten
pr10045_77,26,Pakistan
pr10045_77,26,Kina
pr10045_77,30,Danmark
pr10045_77,31,"Ledøje, -, Smørum"
pr10045_77,65,Babylon
pr10045_77,68,Egypten
pr10045_77,70,Jerusalem
pr10046_77,48,Ganløse
pr10046_77,52,Japan
pr10046_77,53,Japan
pr10046_77,99,Israel
pr10046_77,100,Israel
pr10046_77,100,"romerske, rige"
pr10047_77,0,amerikansk
pr10047_77,2,Sydstaterne
pr10047_77,4,Syd
pr10047_77,14,amerikansk
pr10047_77,74,norske
pr10048_77,80,norske
pr10049_77,76,Cambodja
pr10050_77,0,"New, York"
pr10050_77,9,Vesten
pr10050_77,15,Afghanistan
pr10050_77,16,Irak
pr10050_77,34,Afghanistan
pr10050_77,36,dansk
pr10051_77,81,Samaria
pr10051_77,81,Galilæa
pr10053_77,19,Sabbatten
pr10053_77,111,Ledøje
pr10054_77,124,svensk
pr10054_77,127,"-, Smørum"
pr10055_77,71,Jordan
pr10056_77,27,Smørum
pr10057_77,8,Vridsløselille
pr10057_77,10,Vridsløselille
pr10057_77,15,Vridsløselille
pr10057_77,45,Vridsløselille
pr10057_77,74,Vridsløselille
pr10057_77,75,Vollsmose
pr10057_77,77,Vollsmose
pr10057_77,77,Odense
pr10057_77,103,"Gregorius, fra, Kappadokien"
pr10058_77,4,Ribe
pr10058_77,55,Oslo
pr10058_77,57,Jerusalem
pr10059_77,4,Nazaret
pr10059_77,82,Vollsmose
pr10061_77,2,Jerusalem
pr10061_77,11,Jerusalem
pr10061_77,12,Israel
pr10061_77,22,Jerusalem
pr10061_77,24,Jerusalem
pr10061_77,102,Israel
pr10061_77,113,Jerusalem
pr10061_77,144,Jerusalem
pr10062_77,1,Bruxelles
pr10062_77,9,Jerusalem
pr10062_77,47,Jerusalem
pr10062_77,85,Tyskland
pr10064_77,43,USA
pr10064_77,43,Israel
pr10064_77,43,Palæstina
pr10065_77,0,Afghanistan
pr10065_77,1,Libyen
pr10065_77,2,Danmark
pr10065_77,5,Libyen
pr10065_77,9,Egypten
pr10065_77,16,Egypten
pr10065_77,27,Egypten
pr10065_77,33,Afghanistan
pr10065_77,33,Libyen
pr10065_77,38,Afghanistan
pr10065_77,38,Libyen
pr10065_77,49,Egypten
pr10065_77,50,Egypten
pr10065_77,53,Egypten
pr10067_77,0,Tyskland
pr10067_77,0,Køln
pr10067_77,2,Køln
pr10067_77,5,gotisk
pr10067_77,41,Grønland
pr10067_77,47,Vesten
pr10067_77,48,Ghana
pr10067_77,49,Vestsjælland
pr10067_77,52,Afrika
pr10067_77,77,Alperne
pr10068_77,26,Danmark
pr10068_77,126,Nazareth
pr10070_77,1,norske
pr10070_77,106,Rom
pr10071_77,0,fransk
pr10071_77,1,Paris
pr10071_77,38,Århus
pr10071_77,40,Vestafrika
pr10071_77,43,Egypten
pr10071_77,43,Tunesien
pr10071_77,43,Syrien
pr10071_77,43,Myanmar
pr10071_77,67,hængekøjen
pr10072_77,15,Nordstjernen
pr10074_77,53,Danmark
pr10075_77,74,Roskilde
pr10075_77,95,Cambodja
pr10075_77,98,Danmark
pr10076_77,44,Vesten
pr10076_77,54,"Ledøje, -, Smørum"
pr10076_77,90,USA
pr10077_77,0,britisk
pr10077_77,18,"New, York"
pr10077_77,18,Nice
pr10077_77,25,Egypten
pr10077_77,30,egyptiske
pr10077_77,40,Egypten
pr10077_77,43,Egypten
pr10077_77,53,Gulvkalven
pr10077_77,97,engelsk
pr10078_77,0,Frederikssund
pr10078_77,1,Ledøje
pr10078_77,1,Smørum
pr10078_77,29,Skjern
pr10080_77,98,Jerusalem
pr10081_77,16,Thy
pr10081_77,60,Israel
pr10081_77,89,højmessen
pr10082_77,86,snyderiet
pr10083_77,16,Roskilde
pr10083_77,25,Nazaret
pr10083_77,25,Betlehem
pr10083_77,54,Betlehem
pr10083_77,56,Vestbredden
pr10083_77,106,Betlehem
pr10083_77,120,Betlehem
pr10084_77,41,Maria
pr10084_77,45,Jerusalem
pr10084_77,49,Jerusalem
pr10086_77,5,København
pr10086_77,5,Amager
pr10086_77,7,Fyn
pr10086_77,18,Trinitatis
pr10087_77,0,Danmark
pr10087_77,6,Silkeborg
pr10087_77,13,Tyskland
pr10087_77,13,Danmark
pr10087_77,36,Frederiksberg
pr10087_77,119,amerikanske
pr10088_77,14,Tyrus
pr10088_77,14,Sidon
pr10088_77,19,Israel
pr10088_77,32,Israel
pr10088_77,32,Mellemøsten
pr10088_77,33,Danmark
pr10088_77,108,venden
pr10088_77,152,engelsk
pr10089_77,26,Nazaret
pr10090_77,20,Danmark
pr10090_77,29,amerikansk
pr10090_77,57,dansk
pr10092_77,39,Afrika
pr10092_77,40,Afrika
pr10092_77,43,Afrika
pr10092_77,92,Grønland
pr10092_77,107,Grønland
pr10093_77,30,Grønland
pr10093_77,31,Nuuk
pr10093_77,40,Nuuk
pr10093_77,49,Nuuk
pr10093_77,57,teknologibegejstringen
pr10093_77,60,Grønland
pr10093_77,60,Danmark
pr10093_77,87,Kina
pr10093_77,125,Danmark
pr10095_77,0,Jerusalem
pr10095_77,3,Jerusalem
pr10095_77,10,Jerusalem
pr10095_77,23,Jerusalem
pr10095_77,31,Jerusalem
pr10095_77,78,Lund
pr10095_77,95,Haderslev
pr10095_77,113,Israel
pr10095_77,121,Jerusalem
pr10095_77,121,Israel
pr10095_77,121,Palæstina
pr10096_77,3,dansk
pr10096_77,3,dansk
pr10096_77,26,Ledøje
pr10096_77,39,Danmark
pr10096_77,39,irakiske
pr10096_77,62,funder
pr10096_77,71,danske
pr10096_77,87,Jerusalem
pr10096_77,102,Jerusalem
pr10096_77,109,Jerusalem
pr10096_77,112,København
pr10097_77,6,Australien
pr10097_77,7,Rusland
pr10097_77,8,Kabul
pr10098_77,25,Betlehem
pr10098_77,63,Hvidovre
pr10098_77,63,Herlev
pr10098_77,63,Betlehem
pr10098_77,117,Norge
pr10098_77,126,Lanza
pr10100_77,11,Kairo
pr10100_77,14,Kairo
pr10100_77,23,Israel
pr10100_77,23,Palæstina
pr10100_77,23,Afghanistan
pr10100_77,23,"New, York"
pr10100_77,23,Norge
pr10100_77,92,Nazareth
pr10100_77,125,Nazareth
pr10101_77,0,Ledøje
pr10101_77,49,fynske
pr10102_77,54,Sorø
pr10102_77,55,Sorø
pr10102_77,56,København
pr10102_77,95,Mesopotamien
pr10102_77,95,Judæa
pr10102_77,95,Kappadokien
pr10102_77,95,Pontus
pr10102_77,95,Asien
pr10102_77,95,Frygien
pr10102_77,95,Pamfylien
pr10102_77,95,Egypten
pr10102_77,95,Kyrene
pr10102_77,95,Liben
pr10102_77,95,kretere
pr10103_77,5,Lignelserne
pr10104_77,6,Rusland
pr10104_77,102,Lignelsen
pr10105_77,50,Nazareth
pr10105_77,133,Betlehem
pr10105_77,141,Betlehem
pr10105_77,142,Egypten
pr10105_77,145,Jerusalem
pr10105_77,156,Jerusalem
pr10107_77,0,Hellerup
pr10107_77,22,lyngen
pr10107_77,42,Forræderiet
pr10107_77,62,Selvmordet
pr10108_77,35,Kalenderbladene
pr10108_77,60,Israel
pr10108_77,69,Sidon
pr10108_77,75,Nazaret
pr10108_77,75,Israel
pr10108_77,138,Nazaret
pr10108_77,138,Jerusalem
pr10108_77,145,Nazaret
pr10108_77,149,Galilæa
pr10108_77,150,Galilæa
pr10108_77,152,Nazaret
pr10109_77,57,Rusland
pr10111_77,24,Betlehem
pr10111_77,33,Cambodja
pr10111_77,44,Cambodja
pr10111_77,104,Israel
pr10113_77,80,katolske
pr10114_77,25,København
pr10115_77,31,Egypten
pr10115_77,33,Egypten
pr10115_77,58,København
pr10115_77,105,Stilheden
pr10116_77,48,Europa
pr10117_77,79,dansk
pr10118_77,8,egyptiske
pr10118_77,31,Thailand
pr10118_77,55,Ledøje
pr10119_77,10,Skt
pr10119_77,17,Skt
pr10119_77,23,Skt
pr10119_77,29,Skt
pr10119_77,83,Babylon
pr10119_77,89,Filippinerne
pr10119_77,162,Betlehem
pr10120_77,0,svenske
pr10120_77,4,Göteborg
pr10121_77,47,Danmark
pr10121_77,47,Afghanistan
pr10121_77,63,Afghanistan
pr10123_77,66,Europa
pr10123_77,68,Grækenland
pr10123_77,68,Tyskland
pr10123_77,69,Europa
pr10123_77,69,Holocaust
pr10123_77,74,Nigeria
pr10123_77,74,Haram
pr10123_77,81,Nigeria
pr10123_77,84,nigeriansk
pr10123_77,88,Haram
pr10123_77,111,Danmark
pr10123_77,111,Nigeria
pr10124_77,14,russisk
pr10124_77,15,amerikanske
pr10124_77,16,USA
pr10124_77,26,russisk
pr10124_77,26,kirke
pr10124_77,26,amerikanske
pr10125_77,14,Danmark
pr10126_77,34,Skam
pr10128_77,63,amerikansk
pr10128_77,63,italiensk
pr10128_77,63,amerikansk
pr10128_77,63,"New, Jersey"
pr10130_77,7,Danmark
pr10130_77,8,Odsherred
pr10130_77,10,Danmark
pr10130_77,11,Toscana
pr10130_77,12,Danmark
pr10130_77,13,Odsherred
pr10130_77,22,"Toscana, –"
pr10130_77,22,Chianti
pr10130_77,39,hjerteblod
pr10130_77,69,Mols
pr10131_77,16,Japan
pr10131_77,32,norske
pr10131_77,48,Nazareth
pr10131_77,50,Nazareth
pr10131_77,51,Israel
pr10131_77,56,Nazareth
pr10132_77,33,norske
pr10132_77,57,Israel
pr10133_77,98,USA
pr10134_77,17,Danmark
pr10134_77,32,Cambodja
pr10134_77,40,Rusland
pr10134_77,46,Jerusalem
pr10135_77,70,Myrra
pr10135_77,70,"vellugtende, gummiharpiks"
pr10136_77,2,Rom
pr10136_77,10,Rom
pr10136_77,29,Jerusalem
pr10137_77,72,Ballerup
pr10138_77,12,Norge
pr10138_77,17,Vanløse
pr10138_77,23,Norge
pr10138_77,60,Norge
pr10139_77,41,franske
pr10139_77,45,Afghanistan
pr10141_77,49,Påske
pr10141_77,54,Jerusalem
pr10141_77,62,Jerusalem
pr10142_77,76,Syrien
pr10143_77,90,Nazareth
pr10143_77,106,Jerusalem
pr10144_77,23,Påskemorgen
pr10144_77,91,Spanien
pr10144_77,114,Damaskus
pr10144_77,127,Emmaus
pr10145_77,0,Smørum
pr10145_77,16,Smørum
pr10145_77,17,Smørum
pr10145_77,21,Smørum
pr10145_77,26,Smørum
pr10145_77,47,prædikenværkstedet
pr10145_77,100,Smørum
pr10146_77,8,Nørrebro
pr10146_77,10,palæstinensisk
pr10146_77,10,Jordan
pr10146_77,11,Nørrebro
pr10146_77,13,Israel
pr10146_77,35,Syrien
pr10146_77,35,Irak
pr10147_77,0,sløvhed
pr10147_77,2,Odsherred
pr10147_77,7,Odsherred
pr10147_77,10,Danmark
pr10147_77,13,København
pr10147_77,13,Tyskland
pr10147_77,13,Frankrig
pr10147_77,14,Japan
pr10147_77,15,Sydøstasien
pr10147_77,22,Thailand
pr10147_77,28,England
pr10147_77,30,Europa
pr10148_77,42,Himmeriget
pr10148_77,44,Himmeriget
pr10150_77,16,Jerusalem
pr10150_77,78,Egypten
pr10150_77,80,Israel
pr10151_77,2,dansk
pr10152_77,0,Danmark
pr10152_77,3,Danmark
pr10152_77,7,Danmark
pr10152_77,13,Israel
pr10152_77,25,Danmark
pr10152_77,29,Danmark
pr10152_77,34,Danmark
pr10152_77,38,Danmark
pr10152_77,60,Sydafrika
pr10153_77,50,Farisæeren
pr10154_77,12,Middelhavet
pr10154_77,13,Syrien
pr10154_77,13,Irak
pr10154_77,13,Sydsudan
pr10154_77,43,Løgstrup
pr10154_77,87,Afrika
pr10154_77,91,Afrika
pr10155_77,88,Samaria
pr10156_77,5,Korsbæk
pr10156_77,14,Sverige
pr10156_77,15,Danmark
pr10156_77,15,Tyskland
pr10156_77,15,"Korsbæk, Bank"
pr10156_77,17,Sverige
pr10156_77,25,Sverige
pr10156_77,25,Øresund
pr10156_77,29,Israel
pr10156_77,35,Syrien
pr10156_77,37,Europa
pr10156_77,38,Danmark
pr10156_77,44,Syrien
pr10156_77,81,Europa
pr10156_77,84,Syrien
pr10156_77,86,Smørum
pr10156_77,87,Egedal
pr10156_77,88,Smørum
pr10157_77,104,femøren
pr10160_77,0,Danmark
pr10160_77,1,Christiansborg
pr10160_77,11,Haderslev
pr10160_77,75,Israel
pr10160_77,86,Rom
pr10161_77,12,Henne
pr10162_77,25,trøsten
pr10162_77,63,Sahara
pr10163_77,40,danske
pr10163_77,45,Hillerød
pr10163_77,50,Danmark
pr10163_77,113,Bordverset
pr10163_77,113,manna
pr10164_77,19,østrigske
pr10164_77,68,Betlehem
pr10164_77,79,luthersk
pr10164_77,108,Betlehem
pr10164_77,116,"Ledøje, -, Smørum"
pr10165_77,118,Rom
pr10167_77,41,danske
pr10167_77,46,Hillerød
pr10167_77,51,Danmark
pr10167_77,114,Bordverset
pr10167_77,114,manna
pr10169_77,0,Jerusalem
pr10169_77,9,Jerusalem
pr10169_77,28,Nazareth
pr10169_77,32,Nazareth
pr10169_77,39,Jerusalem
pr10169_77,58,Danmark
pr10169_77,80,amerikansk
pr10169_77,83,Østerbro
pr10169_77,85,jødiske
pr10170_77,20,Smørum
pr10170_77,20,Mellemøsten
pr10173_77,10,Spanien
pr10173_77,34,Galilæa
pr10173_77,46,Jerusalems
pr10173_77,48,Jerusalems
pr10173_77,50,Galilæa
pr10173_77,118,Thy
pr10174_77,0,SKT
pr10174_77,31,amerikansk
pr10174_77,47,amerikansk
pr10174_77,77,SKT
pr10174_77,82,SKT
pr10174_77,87,SKT
pr10175_77,16,København
pr10175_77,17,Østerbro
pr10175_77,45,Frokosten
pr10175_77,56,hjerteblod
pr10175_77,119,Getsemane
pr10176_77,0,Hellerup
pr10176_77,22,lyngen
pr10176_77,42,Forræderiet
pr10176_77,62,Selvmordet
pr10177_77,117,svenske
pr10179_77,37,Himmeriget
pr10179_77,85,dansk
pr10180_77,1,Afghanistan
pr10181_77,63,Stilheden
pr10182_77,35,Mongoliet
pr10182_77,36,Mongoliet
pr10182_77,36,Østblokken
pr10182_77,38,Mongoliet
pr10182_77,51,Vesten
pr10182_77,53,Mongoliet
pr10182_77,56,Smørum
pr10182_77,57,Iran
pr10182_77,59,Danmark
pr10182_77,59,Iran
pr10182_77,63,iranske
pr10182_77,67,Danmark
pr10182_77,67,Smørum
pr10182_77,85,Rom
pr10183_77,31,Israel
pr10184_77,8,Efesos
pr10185_77,0,Grønland
pr10185_77,0,Nuuk
pr10185_77,1,Aasiaat
pr10185_77,5,Grønland
pr10185_77,21,Danmark
pr10185_77,35,Israel
pr10185_77,36,Israel
pr10185_77,39,Danmark
pr10185_77,50,Syrien
pr10185_77,50,Rusland
pr10185_77,109,Beder
pr10185_77,129,Damaskus
pr10185_77,131,Danmark
pr10185_77,134,Syrien
pr10185_77,134,Mellemøsten
pr10186_77,9,hyldeblomst
pr10186_77,43,norske
pr10187_77,89,Jerusalem
pr10188_77,29,"Ledøje, -, Smørum"
pr10188_77,83,Jerusalem
pr10188_77,83,Nazaret
pr10188_77,88,dansk
pr10188_77,89,Danmark
pr10188_77,89,Tyskland
pr10189_77,47,Israel
pr10189_77,86,Folkekirken
pr10189_77,113,Danmark
pr10189_77,114,Danmark
pr10190_77,21,Danmark
pr10190_77,30,Danmark
pr10190_77,54,Danmark
pr10190_77,58,Smørum
pr10190_77,59,Smørum
pr10190_77,60,Bornholm
pr10190_77,60,Østerlars
pr10190_77,61,Østerlars
pr10190_77,77,Østerlars
pr10192_77,33,Jerusalem
pr10192_77,58,Cambodja
pr10192_77,58,England
pr10192_77,58,USA
pr10192_77,58,Sverige
pr10192_77,80,London
pr10193_77,2,Mexico
pr10193_77,4,USA
pr10193_77,5,russiske
pr10193_77,9,USA
pr10193_77,9,afro
pr10193_77,9,amerikanske
pr10193_77,16,Syrien
pr10193_77,17,Afghanistan
pr10193_77,17,Mellemøsten
pr10193_77,18,Afrika
pr10193_77,20,Europa
pr10193_77,21,USA
pr10193_77,21,USA
pr10193_77,105,dansk
pr10193_77,105,"New, York"
pr10193_77,105,luthersk
pr10194_77,6,England
pr10194_77,8,England
pr10194_77,14,Danmark
pr10194_77,22,"of, England"
pr10194_77,30,Danmark
pr10194_77,33,Danmark
pr10194_77,34,evangelisk
pr10194_77,34,danske
pr10194_77,36,Danmark
pr10194_77,39,Danmark
pr10194_77,57,Jerusalem
pr10194_77,87,London
pr10195_77,17,Kina
pr10195_77,17,Indien
pr10195_77,35,København
pr10195_77,87,Himmeriget
pr10197_77,26,Vanløse
pr10197_77,30,Kina
pr10200_77,1,Jerusalem
pr10200_77,13,"Erasmus, af, Rotterdam"
pr10200_77,18,Danmark
pr10200_77,27,tyske
pr10200_77,37,"Saudi, -, Arabien"
pr10200_77,46,Danmark
pr10200_77,48,"Saudi, -, Arabien"
pr10200_77,51,Jerusalem
pr10200_77,66,Jeriko
pr10201_77,47,Rom
pr10201_77,48,Syrien
pr10201_77,62,Syrien
pr10201_77,63,Sydsudan
pr10201_77,73,dansk
pr10201_77,73,Syrien
pr10201_77,73,Irak
pr10201_77,96,Tyskland
pr10201_77,97,Jugoslavien
pr10201_77,97,Rwanda
pr10201_77,98,Mellemøsten
pr10201_77,98,IS
pr10201_77,108,Holland
pr10201_77,109,Romerriget
pr10201_77,124,krybben
pr10201_77,131,Barnet
pr10202_77,1,Jerusalem
pr10204_77,23,Fråseri
pr10204_77,38,Danmark
pr10204_77,45,Danmark
pr10205_77,43,Galilæa
pr10206_77,72,"Vaclav, Havel"
pr10206_77,72,tjekkiske
pr10206_77,87,Havel
pr10207_77,5,Bornholm
pr10207_77,7,Danmark
pr10207_77,8,Europa
pr10207_77,9,Sinkiang
pr10207_77,10,Danmark
pr10207_77,11,Europa
pr10207_77,13,Danmark
pr10207_77,15,Danmark
pr10207_77,15,Europa
pr10207_77,18,Danmark
pr10207_77,49,Skt
pr10207_77,79,Grønland
pr10209_77,89,anglikanske
pr10210_77,3,USA
pr10210_77,7,USA
pr10210_77,11,England
pr10210_77,20,Danmark
pr10210_77,21,Europa
pr10210_77,92,Havel
pr10210_77,102,amerikansk
pr10214_79,0,Afrika
pr10214_79,5,Danmark
pr10214_79,5,Afrika
pr10215_79,27,Århus
pr10215_79,48,Ham
pr10216_79,14,Danmark
pr10217_79,9,Danmark
pr10217_79,9,Danmark
pr10218_79,24,Jerusalem
pr10218_79,34,Jerusalem
pr10220_79,21,Jeriko
pr10220_79,23,Jerusalem
pr10224_79,12,USA
pr10224_79,12,Norge
pr10224_79,12,Algeriet
pr10224_79,31,Afrika
pr10224_79,49,–
pr10225_79,26,Rom
pr10227_79,16,manna
pr10228_79,33,Danmark
pr10228_79,41,afmagten
pr10230_79,8,romerske
pr10230_79,38,jødisk
pr10234_79,53,København
pr10234_79,56,Nørrebro
pr10235_79,13,Nazaret
pr10235_79,18,Nazaret
pr10238_79,3,Jerusalem
pr10239_79,3,Betlehem
pr10240_79,56,”
pr10241_79,27,Hjerting
pr10241_79,27,Esbjerg
pr10242_79,16,lutherske
pr10242_79,60,Rom
pr10242_79,62,Rom
pr10246_79,11,København
pr10248_79,32,København
pr10250_79,24,Betlehem
pr10250_79,53,Egypten
pr10250_79,55,Judæa
pr10250_79,56,Galilæa
pr10250_79,56,Nazaret
pr10250_79,58,Ægypten
pr10250_79,58,Nazaret
pr10250_79,62,Ægypten
pr10253_79,53,Betlehem
pr10254_79,3,Kalundborg
pr10255_79,8,Danmark
pr10256_79,27,Danmark
pr10258_79,40,Hovedspørgsmålet
pr10261_79,2,Århus
pr10261_79,2,København
pr10261_79,25,Dubai
pr10261_79,36,Dubai
pr10262_79,15,Jeriko
pr10262_79,22,Jeriko
pr10263_79,1,tyske
pr10263_79,6,Levring
pr10263_79,37,Dannebrog
pr10264_79,35,Danmark
pr10264_79,38,Danmark
pr10266_79,2,Ham
pr10267_79,53,Testamente
pr10268_79,37,Spanien
pr10270_79,14,Jerusalem
pr10270_79,20,romerske
pr10271_79,29,"Grand, Canaria"
pr10271_79,29,"Grand, Canaria"
pr10272_79,10,Syrien
pr10272_79,10,Sydafrika
pr10272_79,46,Himmelske
pr10274_79,2,sønderjysk
pr10278_79,0,Danmark
pr10278_79,5,nådestolen
pr10278_79,9,nådestolen
pr10278_79,47,Rom
pr10280_79,52,Danmark
pr10281_79,3,Afrika
pr10281_79,36,Jerusalem
pr10281_79,38,Jerusalem
pr10281_79,39,Jerusalem
pr10281_79,40,Jerusalem
pr10284_79,12,Emmaus
pr10286_79,39,Getsemane
pr10288_79,7,Emmaus
pr10288_79,12,Emmaus
pr10288_79,39,Danmark
pr10288_79,39,Kina
pr10288_79,39,"New, Zealand"
pr10288_79,43,Emmaus
pr10289_79,7,Beder
pr10289_79,44,Rom
pr10291_79,36,Rom
pr10291_79,38,Rom
pr10291_79,41,Frelser
pr10291_79,44,Paradis
pr10293_79,12,Silkeborg
pr10293_79,12,Silkeborg
pr10293_79,13,Herligheden
pr10295_79,27,Australien
pr10295_79,27,Sydamerika
pr10295_79,27,Alaska
pr10295_79,27,Honolulu
pr10296_79,39,Tilgivelsen
pr10297_79,2,Ap.G
pr10298_79,35,Emmaus
pr10298_79,53,Emmaus
pr10299_79,9,Hov
pr10299_79,11,Hov
pr10299_79,16,Folkekirken
pr10299_79,23,pinsekirken
pr10300_79,24,Tilgivelsen
pr10302_79,1,Tyskland
pr10302_79,41,tyske
pr10309_79,4,Danmark
pr10310_79,34,Israel
pr10310_79,36,Jerusalem
pr10310_79,36,Korinth
pr10310_79,36,Rom
pr10310_79,36,Kjellerup
pr10311_79,34,Danmark
pr10313_79,12,Sønderjylland
pr10313_79,16,jaaa
pr10313_79,16,ødemarken
pr10315_79,1,Genesaret
pr10315_79,3,Genesaret
pr10316_79,49,Rom
pr10317_79,13,Jerusalem
pr10317_79,19,Jerusalem
pr10317_79,19,Jerusalem
pr10317_79,23,Jerusalem
pr10317_79,23,Jerusalem
pr10317_79,40,Jerusalem
pr10317_79,41,Jerusalem
pr10317_79,41,Jerusalem
pr10320_79,1,Århus
pr10320_79,16,Århus
pr10321_79,29,lignelsen
pr10323_79,19,Danmark
pr10323_79,22,Danmark
pr10327_79,50,Gamle
pr10329_79,19,Kana
pr10330_79,67,Tilgivelsen
pr10333_79,21,Grenen
pr10333_79,26,Grenen
pr10333_79,28,Grenen
pr10333_79,29,Grenen
pr10336_79,3,Genesaret
pr10336_79,29,Aalborg
pr10336_79,31,Spanien
pr10336_79,33,Danmark
pr10336_79,34,Spanien
pr10336_79,44,Aalborg
pr10336_79,48,Spanien
pr10341_79,34,Danmark
pr10341_79,44,Underet
pr10341_79,45,Helbredelsen
pr10343_79,41,Testamente
pr10344_79,3,Jerusalem
pr10344_79,48,Testamente
pr10345_79,21,Afrika
pr10349_79,23,"New, Zealand"
pr10351_79,40,Assisi
pr10351_79,54,Danmark
pr10352_79,7,Testamente
pr10355_79,29,lignelsen
pr10360_79,6,Danmark
pr10361_80,14,Jerusalem
pr10361_80,28,Jerusalem
pr10361_80,36,Jerusalem
pr10361_80,39,Jerusalem
pr10362_80,38,lutherske
pr10363_80,3,Ansvej
pr10363_80,11,Danmark
pr10364_80,2,Herning
pr10364_80,3,Dømmerne
pr10364_80,4,Herning
